select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4809
0 130411 test 130411 0.78 validation
0 130606 test 130606 0.81 validation
0 130411 test 130606 0.43 no-mapping
0 130606 test 130411 0.42 no-mapping
0 130411 test 130606 0.71 linear-transformation
0 130606 test 130411 0.67 linear-transformation
0 130411 test 130606 0.7 affine-transformation
0 130606 test 130411 0.67 affine-transformation
0 130411 test 130606 0.47 decision-tree
0 130606 test 130411 0.44 decision-tree
0 130411 test 130606 0.48 random-forest
0 130606 test 130411 0.48 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4462
0 130411 test 130411 0.76 validation
0 131125 test 131125 0.69 validation
0 130411 test 131125 0.33 no-mapping
0 131125 test 130411 0.16 no-mapping
0 130411 test 131125 0.61 linear-transformation
0 131125 test 130411 0.58 linear-transformation
0 130411 test 131125 0.61 affine-transformation
0 131125 test 130411 0.59 affine-transformation
0 130411 test 131125 0.41 decision-tree
0 131125 test 130411 0.41 decision-tree
0 130411 test 131125 0.43 random-forest
0 131125 test 130411 0.42 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4941
0 130411 test 130411 0.76 validation
0 140416 test 140416 0.79 validation
0 130411 test 140416 0.52 no-mapping
0 140416 test 130411 0.07 no-mapping
0 130411 test 140416 0.68 linear-transformation
0 140416 test 130411 0.69 linear-transformation
0 130411 test 140416 0.68 affine-transformation
0 140416 test 130411 0.7 affine-transformation
0 130411 test 140416 0.5 decision-tree
0 140416 test 130411 0.44 decision-tree
0 130411 test 140416 0.49 random-forest
0 140416 test 130411 0.44 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4531
0 130411 test 130411 0.79 validation
0 140600 test 140600 0.76 validation
0 130411 test 140600 0.23 no-mapping
0 140600 test 130411 0.22 no-mapping
0 130411 test 140600 0.67 linear-transformation
0 140600 test 130411 0.64 linear-transformation
0 130411 test 140600 0.67 affine-transformation
0 140600 test 130411 0.64 affine-transformation
0 130411 test 140600 0.47 decision-tree
0 140600 test 130411 0.43 decision-tree
0 130411 test 140600 0.49 random-forest
0 140600 test 130411 0.44 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5422
0 130411 test 130411 0.76 validation
0 140829 test 140829 0.75 validation
0 130411 test 140829 0.29 no-mapping
0 140829 test 130411 0.02 no-mapping
0 130411 test 140829 0.63 linear-transformation
0 140829 test 130411 0.65 linear-transformation
0 130411 test 140829 0.63 affine-transformation
0 140829 test 130411 0.64 affine-transformation
0 130411 test 140829 0.47 decision-tree
0 140829 test 130411 0.44 decision-tree
0 130411 test 140829 0.5 random-forest
0 140829 test 130411 0.48 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5297
0 130411 test 130411 0.76 validation
0 150416 test 150416 0.72 validation
0 130411 test 150416 0.34 no-mapping
0 150416 test 130411 0.03 no-mapping
