select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5111
0 130411 test 130411 0.8088 validation
0 130606 test 130606 0.7843 validation
0 130411 test 130606 0.3934 no-mapping
0 130606 test 130411 0.3946 no-mapping
0 130411 test 130606 0.665 linear-transformation
0 130606 test 130411 0.6699 linear-transformation
0 130411 test 130606 0.6662 affine-transformation
0 130606 test 130411 0.6626 affine-transformation
0 130411 test 130606 0.4594 decision-tree
0 130606 test 130411 0.4373 decision-tree
0 130411 test 130606 0.4746 random-forest
0 130606 test 130411 0.4629 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 3936
0 130411 test 130411 0.7879 validation
0 131125 test 131125 0.7071 validation
0 130411 test 131125 0.3307 no-mapping
0 131125 test 130411 0.208 no-mapping
0 130411 test 131125 0.6162 linear-transformation
0 131125 test 130411 0.5973 linear-transformation
0 130411 test 131125 0.6255 affine-transformation
0 131125 test 130411 0.5925 affine-transformation
0 130411 test 131125 0.4436 decision-tree
0 131125 test 130411 0.4172 decision-tree
0 130411 test 131125 0.4582 random-forest
0 131125 test 130411 0.416 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4965
0 130411 test 130411 0.7757 validation
0 140416 test 140416 0.7944 validation
0 130411 test 140416 0.497 no-mapping
0 140416 test 130411 0.0752 no-mapping
0 130411 test 140416 0.6488 linear-transformation
0 140416 test 130411 0.6745 linear-transformation
0 130411 test 140416 0.6574 affine-transformation
0 140416 test 130411 0.6794 affine-transformation
0 130411 test 140416 0.469 decision-tree
0 140416 test 130411 0.4562 decision-tree
0 130411 test 140416 0.4933 random-forest
0 140416 test 130411 0.4303 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4069
0 130411 test 130411 0.7817 validation
0 140600 test 140600 0.7716 validation
0 130411 test 140600 0.1973 no-mapping
0 140600 test 130411 0.2065 no-mapping
0 130411 test 140600 0.6541 linear-transformation
0 140600 test 130411 0.6461 linear-transformation
0 130411 test 140600 0.6608 affine-transformation
0 140600 test 130411 0.651 affine-transformation
0 130411 test 140600 0.4581 decision-tree
0 140600 test 130411 0.43 decision-tree
0 130411 test 140600 0.5189 random-forest
0 140600 test 130411 0.4263 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5046
0 130411 test 130411 0.7757 validation
0 140829 test 140829 0.7757 validation
0 130411 test 140829 0.3256 no-mapping
0 140829 test 130411 0.0382 no-mapping
0 130411 test 140829 0.6245 linear-transformation
0 140829 test 130411 0.6991 linear-transformation
0 130411 test 140829 0.627 affine-transformation
0 140829 test 130411 0.6954 affine-transformation
0 130411 test 140829 0.486 decision-tree
0 140829 test 130411 0.4723 decision-tree
0 130411 test 140829 0.503 random-forest
0 140829 test 130411 0.4723 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4829
0 130411 test 130411 0.7757 validation
0 150416 test 150416 0.743 validation
0 130411 test 150416 0.3208 no-mapping
0 150416 test 130411 0.0419 no-mapping
0 130411 test 150416 0.6525 linear-transformation
0 150416 test 130411 0.6769 linear-transformation
0 130411 test 150416 0.6513 affine-transformation
0 150416 test 130411 0.6708 affine-transformation
0 130411 test 150416 0.4751 decision-tree
0 150416 test 130411 0.439 decision-tree
0 130411 test 150416 0.4921 random-forest
0 150416 test 130411 0.4476 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4989
0 130411 test 130411 0.7757 validation
0 150602 test 150602 0.7664 validation
0 130411 test 150602 0.322 no-mapping
0 150602 test 130411 0.1097 no-mapping
0 130411 test 150602 0.6185 linear-transformation
0 150602 test 130411 0.6646 linear-transformation
0 130411 test 150602 0.6245 affine-transformation
0 150602 test 130411 0.6658 affine-transformation
0 130411 test 150602 0.4569 decision-tree
0 150602 test 130411 0.4698 decision-tree
0 130411 test 150602 0.4933 random-forest
0 150602 test 130411 0.471 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5043
0 130411 test 130411 0.7793 validation
0 150824 test 150824 0.7934 validation
0 130411 test 150824 0.3126 no-mapping
0 150824 test 130411 0.1182 no-mapping
0 130411 test 150824 0.6313 linear-transformation
0 150824 test 130411 0.6736 linear-transformation
0 130411 test 150824 0.6337 affine-transformation
0 150824 test 130411 0.681 affine-transformation
0 130411 test 150824 0.5067 decision-tree
0 150824 test 130411 0.4741 decision-tree
0 130411 test 150824 0.536 random-forest
0 150824 test 130411 0.4729 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5076
0 130606 test 130606 0.7784 validation
0 131125 test 131125 0.7423 validation
0 130606 test 131125 0.3554 no-mapping
0 131125 test 130606 0.1253 no-mapping
0 130606 test 131125 0.6407 linear-transformation
0 131125 test 130606 0.5777 linear-transformation
0 130606 test 131125 0.6473 affine-transformation
0 131125 test 130606 0.5815 affine-transformation
0 130606 test 131125 0.4703 decision-tree
0 131125 test 130606 0.3947 decision-tree
0 130606 test 131125 0.4637 random-forest
0 131125 test 130606 0.4436 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5163
0 130606 test 130606 0.7874 validation
0 140416 test 140416 0.7633 validation
0 130606 test 140416 0.3663 no-mapping
0 140416 test 130606 0.1032 no-mapping
0 130606 test 140416 0.6831 linear-transformation
0 140416 test 130606 0.651 linear-transformation
0 130606 test 140416 0.6771 affine-transformation
0 140416 test 130606 0.6522 affine-transformation
0 130606 test 140416 0.4916 decision-tree
0 140416 test 130606 0.4357 decision-tree
0 130606 test 140416 0.488 random-forest
0 140416 test 130606 0.4293 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4072
0 130606 test 130606 0.7302 validation
0 140600 test 140600 0.6825 validation
0 130606 test 140600 0.3021 no-mapping
0 140600 test 130606 0.3275 no-mapping
0 130606 test 140600 0.6751 linear-transformation
0 140600 test 130606 0.6924 linear-transformation
0 130606 test 140600 0.6738 affine-transformation
0 140600 test 130606 0.6899 affine-transformation
0 130606 test 140600 0.4372 decision-tree
0 140600 test 130606 0.4184 decision-tree
0 130606 test 140600 0.4866 random-forest
0 140600 test 130606 0.457 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4951
0 130606 test 130606 0.7874 validation
0 140829 test 140829 0.7681 validation
0 130606 test 140829 0.3807 no-mapping
0 140829 test 130606 0.0815 no-mapping
0 130606 test 140829 0.6964 linear-transformation
0 140829 test 130606 0.6611 linear-transformation
0 130606 test 140829 0.6952 affine-transformation
0 140829 test 130606 0.6637 affine-transformation
0 130606 test 140829 0.4289 decision-tree
0 140829 test 130606 0.4115 decision-tree
0 130606 test 140829 0.4542 random-forest
0 140829 test 130606 0.4548 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4837
0 130606 test 130606 0.7874 validation
0 150416 test 150416 0.7681 validation
0 130606 test 150416 0.3952 no-mapping
0 150416 test 130606 0.051 no-mapping
0 130606 test 150416 0.653 linear-transformation
0 150416 test 130606 0.6624 linear-transformation
0 130606 test 150416 0.6614 affine-transformation
0 150416 test 130606 0.6675 affine-transformation
0 130606 test 150416 0.4301 decision-tree
0 150416 test 130606 0.4331 decision-tree
0 130606 test 150416 0.4639 random-forest
0 150416 test 130606 0.4484 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5079
0 130606 test 130606 0.7874 validation
0 150602 test 150602 0.7778 validation
0 130606 test 150602 0.3687 no-mapping
0 150602 test 130606 0.1541 no-mapping
0 130606 test 150602 0.6988 linear-transformation
0 150602 test 130606 0.6764 linear-transformation
0 130606 test 150602 0.7024 affine-transformation
0 150602 test 130606 0.6764 affine-transformation
0 130606 test 150602 0.4482 decision-tree
0 150602 test 130606 0.4573 decision-tree
0 130606 test 150602 0.5036 random-forest
0 150602 test 130606 0.465 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4947
0 130606 test 130606 0.7794 validation
0 150824 test 150824 0.799 validation
0 130606 test 150824 0.3841 no-mapping
0 150824 test 130606 0.1218 no-mapping
0 130606 test 150824 0.6932 linear-transformation
0 150824 test 130606 0.6802 linear-transformation
0 130606 test 150824 0.7017 affine-transformation
0 150824 test 130606 0.6802 affine-transformation
0 130606 test 150824 0.4746 decision-tree
0 150824 test 130606 0.4404 decision-tree
0 130606 test 150824 0.5 random-forest
0 150824 test 130606 0.4797 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4352
0 131125 test 131125 0.7129 validation
0 140416 test 140416 0.7574 validation
0 131125 test 140416 0.1557 no-mapping
0 140416 test 131125 0.1669 no-mapping
0 131125 test 140416 0.5976 linear-transformation
0 140416 test 131125 0.6008 linear-transformation
0 131125 test 140416 0.6096 affine-transformation
0 140416 test 131125 0.6168 affine-transformation
0 131125 test 140416 0.4347 decision-tree
0 140416 test 131125 0.4393 decision-tree
0 131125 test 140416 0.4635 random-forest
0 140416 test 131125 0.4619 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 3930
0 131125 test 131125 0.7238 validation
0 140600 test 140600 0.7624 validation
0 131125 test 140600 0.0913 no-mapping
0 140600 test 131125 0.1987 no-mapping
0 131125 test 140600 0.5622 linear-transformation
0 140600 test 131125 0.5675 linear-transformation
0 131125 test 140600 0.5595 affine-transformation
0 140600 test 131125 0.5623 affine-transformation
0 131125 test 140600 0.3955 decision-tree
0 140600 test 131125 0.3662 decision-tree
0 131125 test 140600 0.4511 random-forest
0 140600 test 131125 0.3792 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4425
0 131125 test 131125 0.7129 validation
0 140829 test 140829 0.7772 validation
0 131125 test 140829 0.2335 no-mapping
0 140829 test 131125 0.1268 no-mapping
0 131125 test 140829 0.6395 linear-transformation
0 140829 test 131125 0.6716 linear-transformation
0 131125 test 140829 0.6419 affine-transformation
0 140829 test 131125 0.6676 affine-transformation
0 131125 test 140829 0.394 decision-tree
0 140829 test 131125 0.4179 decision-tree
0 131125 test 140829 0.4156 random-forest
0 140829 test 131125 0.4619 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4338
0 131125 test 131125 0.7129 validation
0 150416 test 150416 0.7178 validation
0 131125 test 150416 0.3078 no-mapping
0 150416 test 131125 0.1202 no-mapping
0 131125 test 150416 0.5701 linear-transformation
0 150416 test 131125 0.5848 linear-transformation
0 131125 test 150416 0.5677 affine-transformation
0 150416 test 131125 0.5821 affine-transformation
0 131125 test 150416 0.4 decision-tree
0 150416 test 131125 0.4152 decision-tree
0 131125 test 150416 0.4132 random-forest
0 150416 test 131125 0.4259 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4664
0 131125 test 131125 0.7129 validation
0 150602 test 150602 0.7673 validation
0 131125 test 150602 0.2551 no-mapping
0 150602 test 131125 0.1869 no-mapping
0 131125 test 150602 0.6108 linear-transformation
0 150602 test 131125 0.6315 linear-transformation
0 131125 test 150602 0.6168 affine-transformation
0 150602 test 131125 0.6342 affine-transformation
0 131125 test 150602 0.4228 decision-tree
0 150602 test 131125 0.4192 decision-tree
0 131125 test 150602 0.4263 random-forest
0 150602 test 131125 0.4499 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4284
0 131125 test 131125 0.7035 validation
0 150824 test 150824 0.7638 validation
0 131125 test 150824 0.1477 no-mapping
0 150824 test 131125 0.1596 no-mapping
0 131125 test 150824 0.6074 linear-transformation
0 150824 test 131125 0.641 linear-transformation
0 131125 test 150824 0.6014 affine-transformation
0 150824 test 131125 0.629 affine-transformation
0 131125 test 150824 0.4346 decision-tree
0 150824 test 131125 0.4016 decision-tree
0 131125 test 150824 0.4394 random-forest
0 150824 test 131125 0.4335 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4232
0 140416 test 140416 0.794 validation
